Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
727,Verified,W,chr 13,RPS10B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
3089,Verified,W,chr 13,PEP5,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
1046,Verified,W,chr 13,RNH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA catabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1223,Verified,C,chr 13,RNA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
473,Verified,W,chr 13,TAF9,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,binding,chromatin binding,,,,,,,,,,,,,
2174,Verified,W,chr 13,BCH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,binding,protein binding,enzyme binding,,,,,,,,,,,,
1376,Verified,W,chr 13,DFG5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,reproduction,asexual reproduction,cell budding,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,Verified,C,chr 13,RNT1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1310,Verified,C,chr 13,CUS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
995,Verified,C,chr 13,RPL20A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1328,Verified,C,chr 13,ZRC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
2084,Verified,W,chr 13,FAA4,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,lipid transport,,,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
4688,Verified,C,chr 13,RKR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1757,Verified,W,chr 13,GAD1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
1100,Verified,W,chr 13,GTO3,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
182,Verified,C,chr 13,COX7,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
4262,Verified,C,chr 13,TRM732,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,,,,,,,,,,,,,,,
3164,Verified,C,chr 13,TPS3,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,oligosaccharide metabolic process,,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
611,Verified,W,chr 13,CUE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
932,Verified,W,chr 13,PPA2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1334,Verified,C,chr 13,PRP24,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
635,Verified,W,chr 13,TMA23,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,ribosomal small subunit biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Verified,C,chr 13,URA10,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1154,Verified,C,chr 13,SCS7,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
2747,Verified,C,chr 13,ZDS1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,intracellular transport,nuclear transport,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
947,Verified,C,chr 13,RCE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein maturation,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2930,Verified,C,chr 13,BUL1,membrane,plasma membrane,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2198,Verified,W,chr 13,FCP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein dephosphorylation,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1868,Verified,W,chr 13,PRM15,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,isomerase activity,,,,,,,,,,,,,
4301,Verified,C,chr 13,CAT8,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
914,Verified,W,chr 13,GPI12,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein lipidation,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1742,Verified,C,chr 13,AEP2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,,,,,,,,,,,,,,,
1541,Verified,C,chr 13,RIT1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1808,Verified,W,chr 13,YKU70,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1547,Verified,C,chr 13,NGL2,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
260,Verified,W,chr 13,MRPL33,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
2909,Verified,C,chr 13,DSS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA catabolic process,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2915,Verified,W,chr 13,HSH155,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1124,Verified,W,chr 13,ABZ2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,cofactor metabolic process,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
1517,Verified,C,chr 13,HAS1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1760,Verified,W,chr 13,TDA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1394,Verified,C,chr 13,HER2,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
1121,Verified,W,chr 13,JNM1,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,structural molecule activity,,,,,,,,,,,,,,
1676,Verified,C,chr 13,LCB1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1598,Verified,W,chr 13,PRC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
452,Verified,W,chr 13,LIP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
938,Verified,C,chr 13,DYN3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1532,Verified,C,chr 13,ADE4,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2072,Verified,C,chr 13,ATM1,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
2552,Verified,C,chr 13,YME2,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,mitochondrion organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Verified,C,chr 13,ADH2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
3692,Verified,W,chr 13,UBP15,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1169,Verified,C,chr 13,SCW10,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,cellular process,multi-organism cellular process,conjugation,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
5357,Verified,W,chr 13,FKS3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,cellular process,cell cycle,meiotic cell cycle,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1679,Verified,W,chr 13,GAS1,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,cellular process,cellular component organization,chromatin organization,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
3269,Verified,C,chr 13,PSE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,transporter activity,substrate-specific transporter activity,peptide transporter activity,protein transporter activity,,,,,,,,,,,
2438,Verified,C,chr 13,NIP1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,translational initiation,,,,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
821,Verified,W,chr 13,ELP6,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1928,Verified,C,chr 13,TGL3,,,,,,,,,,,,,,,,reproduction,asexual reproduction,cell budding,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
704,Verified,W,chr 13,PRE5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,,,,,,,,,,,,,,,
1082,Verified,C,chr 13,ADH6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
713,Verified,C,chr 13,SNO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1313,Verified,W,chr 13,ERR3,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
374,Verified,W,chr 13,PAU19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5727,Verified,C,chr 14,YRF1-6,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,helicase activity,,,,,,,,
677,Verified,W,chr 14,DDI3,,,,,,,,,,,,,,,,response to stimulus,response to chemical,,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
668,Verified,C,chr 14,SNO2,,,,,,,,,,,,,,,,metabolic process,small molecule metabolic process,vitamin metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Verified,W,chr 14,SNZ2,,,,,,,,,,,,,,,,metabolic process,small molecule metabolic process,vitamin metabolic process,,,,,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
1022,Verified,W,chr 14,THI12,,,,,,,,,,,,,,,,metabolic process,small molecule metabolic process,vitamin metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Verified,C,chr 14,AAD14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1301,Verified,C,chr 14,RPD3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
3092,Verified,C,chr 14,PEX6,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1010,Verified,C,chr 14,PFA3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein acylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2639,Verified,C,chr 14,FIG4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1244,Verified,W,chr 14,LEM3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,lipid transport,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1397,Verified,W,chr 14,PFS2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,mRNA processing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1004,Verified,C,chr 14,PHA2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
767,Verified,W,chr 14,DAL82,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2714,Verified,C,chr 14,EMW1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,cellular process,cell wall organization or biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Verified,W,chr 14,RFA2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2291,Verified,C,chr 14,SKP2,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,binding,protein binding,"protein binding, bridging",,,,,,,,,,,,
524,Verified,C,chr 14,ZIM17,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
1127,Verified,C,chr 14,MCK1,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,peptidyl-amino acid modification,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
653,Verified,W,chr 14,MRPS18,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
893,Verified,C,chr 14,BXI1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,response to stimulus,response to chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Verified,W,chr 14,YPT11,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,mitochondrion organization,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Verified,C,chr 14,RPS19B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
992,Verified,C,chr 14,RPL18B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1928,Verified,W,chr 14,TRF5,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,snoRNA metabolic process,snoRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
2528,Verified,W,chr 14,CLA4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
4910,Verified,C,chr 14,MON2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
1601,Verified,C,chr 14,RIM21,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,growth,filamentous growth,filamentous growth of a population of unicellular organisms,growth of unicellular organism as a thread of attached cells,invasive filamentous growth,invasive growth in response to glucose limitation,,,,,,,,,,,,,,,,,,,,,,,,
